Month,Weekday,Date,EUR,JPY,BGN,CZK,DKK,GBP,HUF,PLN,RON,SEK,CHF,NOK,TRY,AUD,BRL,CAD,CNH,HKD,IDR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR,INR
8,5,2009-08-06,1.437,95.55323591,1.361029923,18.05427975,5.180932498,1.68582825,187.8148921,2.884481559,2.931176061,7.147320807,1.064022269,6.02887961,1.476687543,0.841975743,1.818302018,1.072790536,6.831176061,7.750104384,9934.481559,1224.119694,13.02087683,3.490466249,0.67039888,47.75643702,1.435768963,33.98260264,8.061934586,47.59986082
8,4,2009-08-05,1.441,95.33657183,1.357251908,18.00485774,5.166551006,1.701399138,185.2879944,2.845593338,2.917765441,7.125815406,1.062873005,6.015614157,1.458639833,0.843676815,1.814087439,1.076127689,6.830881332,7.750034698,9909.701596,1222.838307,13.12158223,3.497501735,0.675036305,47.8667592,1.433240805,33.99028452,7.908813324,47.41984733
8,3,2009-08-04,1.4384,94.70244716,1.359705228,17.98039488,5.176028921,1.695326772,185.6576752,2.866587875,2.929991657,7.163723582,1.062708565,6.051167964,1.46628198,0.840383267,1.834885984,1.068478865,6.830228031,7.750069522,9878.086763,1218.840378,13.15899611,3.494507786,0.665648572,47.84760845,1.433676307,33.98498331,7.843228587,47.57994994
8,2,2009-08-03,1.4303,94.98706565,1.367405439,17.96476264,5.205131791,1.684291098,185.7652241,2.872684052,2.938544361,7.200097882,1.065930224,6.068656925,1.465147172,0.840364277,1.851499685,1.067887856,6.830804726,7.750052437,9902.789625,1220.464238,13.1180172,3.507515906,0.666961996,48.06124589,1.434174649,34.01524156,7.748234636,47.59001608
7,6,2009-07-31,1.4138,95.72075258,1.383363984,18.08813128,5.266727967,1.652407667,188.5202999,2.941717357,2.983802518,7.310652143,1.083392276,6.164238223,1.476163531,0.828722157,1.873107936,1.077521573,6.832083746,7.750035366,9950.749752,1222.740133,13.20398925,3.522492573,0.655204375,48.05559485,1.441292969,34.03027302,7.806478993,48.06196067
7,5,2009-07-30,1.4053,95.27503024,1.391731303,18.20323063,5.298014659,1.648639137,190.9272042,2.972674874,2.993666833,7.437202021,1.08973173,6.225716929,1.484451718,0.824609788,1.885362556,1.08446595,6.832277805,7.75001779,9954.856614,1234.967623,13.26997794,3.531487939,0.651960102,48.10503095,1.44424678,34.05465025,7.833131716,48.3099694
7,4,2009-07-29,1.4104,94.9092456,1.386698809,18.10833806,5.278715258,1.637905005,191.2577992,2.972773681,2.990853659,7.504892229,1.082529779,6.231565513,1.487166761,0.819047619,1.891591038,1.087280204,6.831395349,7.750070902,9957.430516,1242.307147,13.26999433,3.533465683,0.657314629,48.11330119,1.443065797,34.02509926,7.925269427,48.42597845
7,3,2009-07-28,1.4229,94.54634901,1.374516832,17.92184974,5.232482957,1.650313152,188.031485,2.935202755,2.955232272,7.439032961,1.069927613,6.160657812,1.475296929,0.83026024,1.876238668,1.08075058,6.830908708,7.750860918,9924.232202,1238.997821,13.25750228,3.509522806,0.660861084,48.02445709,1.44050882,33.9447607,7.8101764,48.21491321
7,2,2009-07-27,1.4269,95.03819469,1.370663677,17.8828229,5.217534515,1.64902346,187.8197491,2.926694232,2.948699979,7.377181302,1.067839372,6.167916462,1.480271918,0.82332237,1.88870979,1.081575443,6.831032308,7.750087602,9967.201626,1242.189362,13.15502138,3.518466606,0.657648523,48.03069591,1.439834606,33.96523933,7.746933913,48.16525335
7,6,2009-07-24,1.4227,94.83376678,1.374710058,17.90398538,5.232796795,1.64094579,187.3831447,2.943698601,2.962676601,7.450270612,1.069585998,6.227595417,1.483095523,0.817033251,1.891052225,1.082940887,6.831025515,7.749982428,9999.536093,1247.887819,13.18303226,3.529486188,0.65674191,48.06846138,1.440008435,33.96499613,7.766500316,48.23012582
